Артикул;Наименование;Св.;Св.+Тр.;Б.Тр.;Цена, usd;Цена, руб.;Доп.;Гар.;Производитель;Категория;Раздел;Вес [кг];Объём [л]
DGS-1510-20/A1A;D-Link DGS-1510-20/A1A, Gigabit Stackable SmartPro Switch with 16 10/100/1000Base-T ports, 2 Gigabit SFP, 2 10G SFP+ ports;много;много;;211.7;;;;D-Link;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;3.00;12,25
DGS-1210-28/ME/FTA1A;D-Link DGS-1210-28/ME/FTA1A, Managed Gigabit Switch with 24 10/100/1000Base-T + 4 SFP Ports;много;много;;237.98;;;Пожизненная;D-Link;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;1.50;8,58
DES-1100-24/A2A;D-Link DES-1100-24/A2A, 24 ports compact 11” EasySmart switch;много;много;;66.069999999999993;;;Пожизненная;D-Link;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;2.00;5,98
DGS-1210-20/C1A;D-Link DGS-1210-20/C1A, Gigabit Smart Switch with 16 10/100/1000Base-T ports and 4 Gigabit SFP ports;много;много;;125.56;;;Пожизненная;D-Link;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;2.30;8,57
DGS-1100-18/B1A;D-Link DGS-1100-18/B1A, Коммутатор;много;много;;122.88;;;Пожизненная;D-Link;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;2.50;11,88
DGS-1210-10/C1A;D-Link DGS-1210-10/C1A, Коммутатор;много;много;;96.36;;;Пожизненная;D-Link;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;2.80;6,50
DGS-1100-24P/B1A;D-Link DGS-1100-24P/B1A, Коммутатор;много;много;;128.47999999999999;;;Пожизненная;D-Link;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;3.20;12,96
DGS-3000-28SC/A1A;D-Link DGS-3000-28SC/A1A, 28-Port Management L2 Gigabit Switch;0 *;0;;792.78;;;Пожизненная;D-Link;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;3.56;15,68
J9019B#ABB;HP 2510-24 Switch (24 ports 10/100 + 2 10/100/1000 or 2mini-Gbics, Managed, Layer 2, Stackable 19', Fanless design) (repl. for JE025A, JF427A);1;1;;406.29;;;Пожизненно;HP;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;3.90;24,34
JE074A#ABB;HP 5120-24G SI Switch (20x10/100/1000 + 4xSFP, Managed static L3, 19');0 *;0;;1641.72;;;Пожизненно;HP;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;8.00;11,40
JE069A#ABB;HP 5120-48G EI Switch with 2 Slots (44x10/100/1000 + 4x10/100/1000 or SFP + 4 optional 10GbE ports, Managed static L3, IRF Stacking, 19') (repl. for JF845A);2;2;;4128.0200000000004;;;Пожизненно;HP;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;4.50;30,78
JE072A#ABB;HP 5120-48G SI Switch (44x10/100/1000 + 4xSFP, Managed static L3, 19');1;1;;3098.17;;;Пожизненно;HP;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;8.00;19,11
JE066A#ABB;HP 5120-24G EI Switch (20x10/100/1000 + 4x10/100/1000 or SFP, Managed static L3, Stacking, 19');1;1;;1433.17;;;Пожизненно;HP;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;5.00;27,60
JE068A#ABB;HP 5120-24G EI Switch with 2 Slots (20x10/100/1000 + 4x10/100/1000 or SFP + 4 optional 10GbE ports, Managed static L3, IRF Stacking, 19') (repl. for JE015A, JF844A);0 *;0;;2474.2199999999998;;;Пожизненно;HP;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;5.20;55,20
J9627A#ABB;HP 2620-48-PoE+ Switch (48x10/100 PoE+, 2x10/100/1000, 2xSFP, managed L3 static, virtual stacking, PoE 382W, 19') (repl. for J9089A);много;много;;2091.06;;;Пожизненно;HP;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;7.60;34,58
J9624A#ABB;HP 2620-24-PPoE+ Switch (12x10/100, 12x10/100 PoE+, 2x10/100/1000, 2xSFP, managed L3 static, virtual stacking, PoE 128W, 19') (repl. for J9086A);много;много;;827.4;;;Пожизненно;HP;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;4.80;26,39
JG241A#ABB;HP 5500-24G-PoE+ EI Switch w/2 Intf Slts (24x10/100/1000 PoE+ + 4x10/100/1000 or SFP + 2 module slots, Managed dynamic L3, IRF Stacking, 19');1;1;;4807.12;;;Пожизненно;HP;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;10.00;38,28
J9623A#ABB;HP 2620-24 Switch (24x10/100, 2x10/100/1000, 2xSFP, managed L3 static, virtual stacking, 19') (repl. for J9085A);много;много;;558.54;;;Пожизненно;HP;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;4.20;29,23
J9626A#ABB;HP 2620-48 Switch (48x10/100, 2x10/100/1000, 2xSFP, managed L3 static, virtual stacking, 19') (repl. for J9088A);много;много;;1013.87;;;Пожизненно;HP;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;4.20;29,23
JG315A#ABB;HP 3100-48 v2 Switch (48x10/100 + 4xSFP, Full Managed L2, Clustered Stacking, 19') (repl. for JD317A);много;много;;1820.98;;;Пожизненно;HP;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;4.30;31,05
JG237A#ABB;HP 5120-48G-PoE+ EI Switch w/2 Intf Slts (44x10/100/1000 PoE+ + 4x10/100/1000 PoE or SFP + 4 optional 10GbE ports, Managed static L3, IRF Stacking, 19') (repl. for JE071A);много;много;;5496.56;;;Пожизненно;HP;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;5.80;38,28
J9728A#ABB;HP 2920-48G Switch (44 x 10/100/1000, 4 x SFP or 10/100/1000, 2 module slots for 10G, Managed Static L3, Stacking, 19') (repl. for J9147A);много;много;;3167.05;;;Пожизненно;HP;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;8.10;47,52
J9625A#ABB;HP 2620-24-PoE+ Switch (24x10/100 PoE+, 2x10/100/1000, 2xSFP, managed L3 static, virtual stacking, PoE 382W, 19') (repl. for J9087A);0 *;0;;1210.75;;;Пожизненно;HP;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;7.00;34,20
J9575A#ABB;HP 3800-24G-2SFP+ Switch (24x10/100/1000 + 2x1G/10G SFP+ 2 module slots, Managed L3, Stacking, 2 p/s slots, 1 p/s included, 19');0;2;;4675.26;;;Пожизненно;HP;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;10.00;66,12
JG299A#ABB;HP 3600-24 v2 EI Switch (24x10/100 + 4xSFP, Managed L3, Stacking, 19') (repl. for JD331A, JD336A, JD367A, J9470A);0 *;0;;2102.79;;;Пожизненно;HP;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;6.50;37,13
JG311A;HP HI 5500-24G-4SFP w/2 Intf Slts Switch (no power supply included);0;2;;4882.45;;;Пожизненно;HP;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;6.85;31,26
JG240A#ABB;HP 5500-48G-PoE+ EI Switch w/2 Intf Slts (44x10/100/1000 PoE+ + 4x10/100/1000 or SFP + 2 module slots, Managed dynamic L3, IRF Stacking, 19') (repl. for JD376A, JD011A);0;0;;8146.59;;;Пожизненно;HP;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;10.00;41,47
