Артикул;Наименование;Св.;Св.+Тр.;Б.Тр.;Цена, usd;Цена, руб.;Доп.;Гар.;Производитель;Категория;Раздел;Вес [кг];Объём [л]
Категория - 01. Серверы-> 1-процессорные серверы->ASUS RS100;;;;;;;;;;;;;
RS100-E8-PI2;Серверная платформа ASUS RS100-E8-PI2DVR/WOC/WOM/WOH/WOR/WOI;1;много;;550;;;3 года;ASUS;ASUS RS100;01. Серверы -> 1-процессорные серверы;9.50;55,22
RS100-E7/PI2;Серверная платформа ASUS RS100-E7-PI2/WOCPU/WOMEM/WOHDD//CEE/DVR/EN;много;много;;470;;;3 года;ASUS;ASUS RS100;01. Серверы -> 1-процессорные серверы;10.00;52,16
RS100-X7;Серверная платформа ASUS RS100-X7/WOCPU/WOMEM/WOHDD//CEE/WOD/EN;2;2;;350;;;3 года;ASUS;ASUS RS100;01. Серверы -> 1-процессорные серверы;9.00;53,16
Категория - 01. Серверы-> 1-процессорные серверы->ASUS RS300;;;;;;;;;;;;;
RS300-E7/PS4;Серверная платформа ASUS RS300-E7-PS4/WOCPU/WOMEM/WOHDD//CEE/DVR/EN;много;много;;580;;;3 года;ASUS;ASUS RS300;01. Серверы -> 1-процессорные серверы;16.00;95,76
RS300-E8-PS4;Серверная платформа ASUS RS300-E8-PS4/WOCPU/WOMEM/WOHDD//CEE/DVR/EN;много;много;;620;;;3 года;ASUS;ASUS RS300;01. Серверы -> 1-процессорные серверы;14.50;89,64
RS300-H8-PS12;Серверная платформа ASUS RS300-H8-PS12/WOD/CEE/WOC/WOM/WHO/IK7/EN;2;2;;1060;;;3 года;ASUS;ASUS RS300;01. Серверы -> 1-процессорные серверы;16.30;110,58
RS300-E7/RS4;Серверная платформа ASUS RS300-E7-RS4/WOCPU/WOMEM/WOHDD//2CEE/DVR/ENG;много;много;;780;;;3 года;ASUS;ASUS RS300;01. Серверы -> 1-процессорные серверы;16.40;95,76
RS300-E8-RS4;Серверная платформа ASUS RS300-E8-RS4/DVR/2CEE/WOC/WOM/WOH/WOR/WOI/EN;0;0;;860;;;3 года;ASUS;ASUS RS300;01. Серверы -> 1-процессорные серверы;16.70;95,76
Категория - 01. Серверы-> 1-процессорные серверы->ASUS TS110;;;;;;;;;;;;;
TS110-E8-PI4;Серверная платформа ASUS TS110-E8-PI4/DVR/WOC/WOM/WOH/WOR/WOI;много;много;;500;;;3 года;ASUS;ASUS TS110;01. Серверы -> 1-процессорные серверы;13.40;145,60
Категория - 01. Серверы-> 1-процессорные серверы->ASUS TS300;;;;;;;;;;;;;
TS300-E8-PS4;Серверная платформа ASUS TS300-E8-PS4/WOCPU/WOMEM/WOHDD//CEE/DVR/EN;0 *;0;;670;;;3 года;ASUS;ASUS TS300;01. Серверы -> 1-процессорные серверы;20.70;162,84
TS300-E7/PS4;Серверная платформа ASUS TS300-E7-PS4/WOCPU/WOMEM/WOHDD//CEE/DVR/EN;много;много;;600;;;3 года;ASUS;ASUS TS300;01. Серверы -> 1-процессорные серверы;20.00;166,91
Категория - 01. Серверы-> 1-процессорные серверы->DELL PowerEdge R220;;;;;;;;;;;;;
PER220-ACIC-003;Dell PowerEdge R220 E3-1240v3 NHP Rack(1U)/4C 3.4GHz(8Mb)/ 1x4Gb UDIMM (1600)/H310 SATA/SAS/RAID/1/0/ noHDD up to 2 LFF NHP cable/noDVD/iDRAC7 Exp/2xGE/1xPS250W/Bezel/ Static Rails/no ARM/3YBWNBD;1;1;;;64848;;3 года;Dell;DELL PowerEdge R220;01. Серверы -> 1-процессорные серверы;13.00;98,28
PER220-ACIC-10t;Dell PowerEdge R220 Pentium G3430 NHP Rack(1U)/2C 3.3GHz(3Mb)/ no memory(4)/ S110 on Board SATA/RAID/1/0/noHDD up to 2 LFF NHP cable/noDVD/iDRAC7 Exp/2xGE/1xPS250W/Bezel/Static Rails/3YBWNBD.;много;много;;;45900;Нов.;3 года;Dell;DELL PowerEdge R220;01. Серверы -> 1-процессорные серверы;12.30;115,67
PER220-ACIC-004;Dell PowerEdge R220 Pentium G3430 NHP Rack(1U)/2C 3.3GHz(3Mb)/ 1x4Gb UDIMM (1600)/S110 on Board SATA/RAID/1/0/noHDD up to 2 LFF NHP cable/noDVD/iDRAC7 Exp/2xGE/1xPS250W/Bezel/ Static Rails/3YBWNBD;3;3;;;48145;;3 года;Dell;DELL PowerEdge R220;01. Серверы -> 1-процессорные серверы;18.00;154,79
PER220-ACIC-005;Dell PowerEdge R220 E3-1220v3 NHP Rack(1U)/4C 3.1GHz(8Mb)/ 1x4Gb UDIMM (1600)/S110 on Board SATA/RAID/1/0/noHDD up to 2 LFF NHP cable/noDVD/iDRAC7 Exp/2xGE/1xPS250W/Bezel/ Static Rails/no ARM/3YBWNBD;5;5;;;56400;;3 года;Dell;DELL PowerEdge R220;01. Серверы -> 1-процессорные серверы;18.00;154,79
PER220-ACIC-006;Dell PowerEdge R220 E3-1241v3 NHP Rack(1U)/4C 3.5GHz(8Mb)/ 1x4Gb UDIMM (1600)/H310 SATA/SAS/RAID/1/0/ noHDD up to 2 LFF NHP cable/noDVD/iDRAC7 Exp/2xGE/1xPS250W/Bezel/ Static Rails/no ARM/3YBWNBD;много;много;;;68021.100000000006;;3 года;Dell;DELL PowerEdge R220;01. Серверы -> 1-процессорные серверы;18.00;150,08
PER220-ACIC-09t;Dell PowerEdge R220 E3-1271v3 NHP Rack(1U)/4C 3.5GHz(8Mb)/ no memory/H310 SATA/SAS/RAID/1/0/ noHDD up to 2 LFF NHP cable/DVD/iDRAC7 Exp/2xGE/1xPS250W/Bezel/Static Rails/no ARM/3YBWNBD.;7;7;;;90750;;3 года;Dell;DELL PowerEdge R220;01. Серверы -> 1-процессорные серверы;18.00;134,76
PER220-ACIC-11t;Dell PowerEdge R220 E3-1220v3 NHP Rack(1U)/4C 3.1GHz(8Mb)/ no memory(4)/S110 on Board SATA/RAID/1/0/noHDD up to 2 LFF NHP cable/noDVD/iDRAC7 Exp/2xGE/1xPS250W/Bezel/Static Rails/no ARM/3YBWNBD.;много;много;;;54951.5;Нов.;3 года;Dell;DELL PowerEdge R220;01. Серверы -> 1-процессорные серверы;13.00;99,92
PER220-ACIC-08t;Dell PowerEdge R220 E3-1241v3 NHP Rack(1U)/4C 3.5GHz(8Mb)/ no memory(4)/ S110 on Board SATA/RAID/1/0/ noHDD up to 2 LFF NHP cable/noDVD/iDRAC7 Exp/2xGE/1xPS250W/Bezel/Static Rails/no ARM/3YBWNBD.;много;много;;;63530.7;;3 года;Dell;DELL PowerEdge R220;01. Серверы -> 1-процессорные серверы;18.00;116,06
PER220-ACIC-055;Dell PowerEdge R220 E3-1220v3 NHP Rack(1U)/4C 3.1GHz(8Mb)/ 1x8Gb UDIMM (1600)/S110 on Board SATA/RAID/1/0/noHDD up to 2 LFF NHP cable/noDVD/iDRAC7 Exp/2xGE/1xPS250W/Bezel/ Static Rails/no ARM/3YBWNBD;0;много;;;57431.1;Нов.;3 года;Dell;DELL PowerEdge R220;01. Серверы -> 1-процессорные серверы;18.00;154,79
Категория - 01. Серверы-> 1-процессорные серверы->DELL PowerEdge R320;;;;;;;;;;;;;
PER320-ACCX-201;PowerEdge R320, процессоры Intel Xeon E-24XX v2 *PER320-ACCX-201;0 *;0;;;274642.3;;;Dell;DELL PowerEdge R320;01. Серверы -> 1-процессорные серверы;21.00;141,96
PER320-ACCX-204;PowerEdge R320, процессоры Intel Xeon E-24XX v2 *PER320-ACCX-204;0;0;;;251748.9;;;Dell;DELL PowerEdge R320;01. Серверы -> 1-процессорные серверы;34.00;144,33
PER320-ACCX-202;PowerEdge R320, процессоры Intel Xeon E-24XX v2 *PER320-ACCX-202;0 *;0;;;300403.40000000002;;;Dell;DELL PowerEdge R320;01. Серверы -> 1-процессорные серверы;21.00;141,96
PER320-ACCX-203;PowerEdge R320, процессоры Intel Xeon E-24XX v2 *PER320-ACCX-203;0 *;0;;;409225.7;;;Dell;DELL PowerEdge R320;01. Серверы -> 1-процессорные серверы;21.00;141,96
Категория - 01. Серверы-> 1-процессорные серверы->DELL PowerEdge T20;;;;;;;;;;;;;
210-ACCE-001;Dell PowerEdge T20 E3-1225v3 Tower/4C 3.2GHz(8Mb)/1x4GbU2D(1600)/ On-board C226 SATA(2x3Gb/s+2x6Gb/s) RAID0/1/ 1x1Tb SATA 7.2k LFF/ UpTo4LFF NHP/ UpTo2SFF NHP/noDVD/1xGE/PS250W/1YBWNBD;0 *;0;;;42845.1;;1 год;Dell;DELL PowerEdge T20;01. Серверы -> 1-процессорные серверы;10.00;91,09
Категория - 01. Серверы-> 1-процессорные серверы->HP ProLiant DL320;;;;;;;;;;;;;
717170-421;Proliant DL320e Gen8 v2 E3-1220v3 Hot Plug Rack(1U)/Xeon4C E3-1220v3 3.1GHz(8Mb)/1x4GbUD_12800/B120i(SATA/ZM/RAID0/1/1+0)/noHDD(2)LFF/noDVD/iLO4std/2x1GbEth/1x300W(NHP), no rail kits;0;8;;1101;;;1 год;HP;HP ProLiant DL320;01. Серверы -> 1-процессорные серверы;5.50;87,75
768646-425;Proliant DL320e Gen8 v2 E3-1231v3 NHP (1U)/Xeon4C 3.4GHz(8Mb)/1x4GbUD_12800/B120i(ZM/SATA/RAID0/1/1+0)/noHDD(2)LFF/noDVD/iLO4std/2x1GbEth/1x300W(NHP), no rail kits;0;0;;846;;;1 год;HP;HP ProLiant DL320;01. Серверы -> 1-процессорные серверы;8.50;86,13
768638-421;Proliant DL320e Gen8 v2 G3240 NHP Rack(1U)/Pentium2C 3.2GHz(3Mb)/1x2GbUD_12800/B120i(ZM/RAID0/1/1+0)/(2)LFF/noDVD/iLO4std/2xGigEth/PS250W(NHP), no rail kits;2;2;;781;;;1 год;HP;HP ProLiant DL320;01. Серверы -> 1-процессорные серверы;9.00;87,45
768645-421;Proliant DL320e Gen8 v2 E3-1241v3 Hot Plug (1U)/Xeon4C 3.5GHz(8Mb)/1x8GbUD_12800/P222FBWC(512Mb/RAID0/1/1+0/5/5+0/6)/noHDD(4)SFF/noDVD/iLO4std/2x1GbEth/PS250W(NHP), no rail kits;1;много;;2119;;;1 год;HP;HP ProLiant DL320;01. Серверы -> 1-процессорные серверы;8.60;89,10
Категория - 01. Серверы-> 1-процессорные серверы->HP ProLiant ML310;;;;;;;;;;;;;
724162-425;Proliant ML310e Gen8 v2 E3-1220v3 NHP Tower(4U)/Xeon4C 3.1GHz(8Mb)/1x4GbUD_10600(LV)/B120i(SATA/ZM/RAID0/1/1+0)/1x1Tb(4)LFF/DVD-RW/iLO4std/2x1GbEth/1xPS350HE(NHP), analog 470065-761;0 *;много;;810;;;1 год;HP;HP ProLiant ML310;01. Серверы -> 1-процессорные серверы;17.00;99,00
470065-807;Proliant ML310e Gen8 v2 E3-1220v3 Hot Plug Tower(4U)/Xeon4C 3.1GHz(8Mb)/1x2GbUD_12800/P222(512Mb/RAID 0/1/1+0/5/5+0)/1x1Tb(4)LFF/DVD-RW/iLO4std/2x1GbEth/1xPS350HE(NHP), analog 686144-425;10;10;;1143;;;1 год;HP;HP ProLiant ML310;01. Серверы -> 1-процессорные серверы;20.00;97,02
768729-421;Proliant ML310e Gen8 v2 E3-1241v3 Hot Plug Tower(4U)/Xeon4C 3.5GHz(8Mb)/1x8GbUD_12800/B120i(SATA/ZM/RAID0/1/1+0)/1xSATA500GbHDD(4)LFF/DVD-RW/iLO4std/2x1GbEth/1xRPS460HE(2up);много;много;;1626;;;1 год;HP;HP ProLiant ML310;01. Серверы -> 1-процессорные серверы;12.00;99,00
712329-421;Proliant ML310e Gen8 v2 E3-1220v3 Hot Plug Tower(4U)/Xeon4C 3.1GHz(8Mb)/1x4GbUD_12800/B120i(SATA/ZM/RAID0/1/1+0)/noHDD(4)LFF/DVD-RW/iLO4std/2x1GbEth/1xPS350HE(NHP), analog 674786-421;1;много;;1049;;;1 год;HP;HP ProLiant ML310;01. Серверы -> 1-процессорные серверы;17.00;99,96
470065-798;Proliant ML310e Gen8 v2 E3-1220v3 NHP Tower(4U)/Xeon4C 3.1GHz(8Mb)/1x4GbUD_10600(LV)/B120i(SATA/ZM/RAID0/1/1+0)/2x1Tb(4)LFF/DVD-RW/iLO4std/2x1GbEth/1xPS350HE(NHP), 3-3-3, analog 470065-772;0 *;много;;969;;;1 год;HP;HP ProLiant ML310;01. Серверы -> 1-процессорные серверы;12.00;94,08
768748-421;Proliant ML310e Gen8v2 i3-4150 NHP Tower(4U)/Corei2C 3.5GHz(3Mb)/1x2GbUD_12800/B120i(ZM/SATA/RAID0/1/1+0)/noHDD(4)LFF/noDVD/iLO4std/2x1GbEth/1x350W(NHP);много;много;;734;;;1 год;HP;HP ProLiant ML310;01. Серверы -> 1-процессорные серверы;9.50;97,19
470065-864;Proliant ML310e Gen8 v2 E3-1271v3 NHP Tower(4U)/Xeon4C 3.6GHz(8Mb)/1x4GbR2UD_12800/B120i(SATA/ZM/RAID0/1/1+0)/1x1TbSATA(4)LFF/DVD-RW/iLO4std/2x1GbEth/PS350W(NHP);0;0;;1148;;;1 год;HP;HP ProLiant ML310;01. Серверы -> 1-процессорные серверы;16.00;102,00
Категория - 01. Серверы-> 1-процессорные серверы->IBM System x3100;;;;;;;;;;;;;
5457EEG;"IBM Express x3100 M5, 1x Xeon E3-1220v3 3.1GHz 8MB 4C 1600 (80W), 8GB (1x 8GB (2Rx8, 1.35V 1600MHz) UDIMM), O/B 3.5"" HS SAS/SATA(4), H1110, Multiburner, 1x430W HS PSU";1;1;;927;;;1 год;IBM;IBM System x3100;01. Серверы -> 1-процессорные серверы;21.00;134,64
5457K2G;"IBM Exp x3100M5 Tower4U,Xeon 4C E3-1220v3(3.1GHz/1600MHz/8MB/80W),1x8GB/1600MHz/1.35V,1x1TB SS 3.5""SATA(upto4),Multi-Burner,SR C100(nocache, RAID 0,1,10),2xGbE,300W ps(analog 5457B3G;changefor2583K9G)";много;много;;784;;;1 год;IBM;IBM System x3100;01. Серверы -> 1-процессорные серверы;14.00;99,00
5457EHG;"IBM Express x3100 M5, 1x Xeon E3-1220v3 3.1GHz 8MB 4C 1600 (80W), 8GB (1x 8GB (2Rx8, 1.35V 1600MHz) UDIMM), O/B 2.5"" HS SAS/SATA(8), M1115, Multiburner, 2x430W HS PSU";много;много;;1060;;;1 год;IBM;IBM System x3100;01. Серверы -> 1-процессорные серверы;21.00;134,64
258232G;"IBM System x3100 M4 Tower (4U), 1x Pentium 2C G850 (65W 2.9GHz, 1333MHz, 3MB), 1x2GB 1.5V LP UDIMM (up4), noHDD 3.5""SS SATA (up4), SR C100 (RAID 0/1/ 10), DVD-ROM, 2xGbE, 350W PS (up1), no pow.cord";0;0;;870;;;1 год;IBM;IBM System x3100;01. Серверы -> 1-процессорные серверы;17.00;158,40
Категория - 01. Серверы-> 1-процессорные серверы->IBM System x3250;;;;;;;;;;;;;
5458E1G;"IBM Express x3250 M5 Rack 1U,Xeon E3-1220v3 4C(3.1GHz/8MB/1600/80W),1x 4GB/1600MHz/1.35V UDIMM, noHDD 3.5"" SS SATA(up4),C100 (RAID 0,1,10),noDVD,2xGbE,300W ps(замена 2583KDG)(an. 5458B2G)";0;0;;982;;;3 года;IBM;IBM System x3250;01. Серверы -> 1-процессорные серверы;15.50;131,10
5458EKG;"IBM Exp x3250 M5 Rack 1U,Xeon 4C E3-1241v3(3,5GHz/1600MHz/8MB/80W),1x4GB/1600MHz/1.35V LP UDIMM,noHDD 2,5"" SAS/SATA(upto4),MultiBurn,SR H1110(RAID 0,1,10),2xGbE,460W ps(upto2)(замена 2583KJG,5458E5G)";1;1;;1405;;;3 года;IBM;IBM System x3250;01. Серверы -> 1-процессорные серверы;14.00;100,32
5458EJG;"IBM Express x3250 M5 Rack 1U, Xeon 4C E-1241v3 (3,5GHz/1600MHz/8MB/80W),1x4GB/1600MHz/1.35V LP UDIMM,noHDD 3,5"" SAS/SATA(up to 4),noDVD,SR H1110(RAID 0,1,10),2xGbE,300W p/s(замена 5458E8G)";0;0;;1284;;;3 года;IBM;IBM System x3250;01. Серверы -> 1-процессорные серверы;16.00;132,99
5458ELG;"IBM Exp x3250 M5 Rack 1U, Xeon 4C E-1271v3 (3,6GHz/1600MHz/8MB/80W),1x8GB/1600MHz/1.35V LP UDIMM,noHDD 2,5"" SAS/SATA(up to 8),MultiBurner,SR M1115(RAID 0,1,10),2xGbE,460W p/s(upto2)(замена 5458E6G)";много;много;;1682;;;3 года;IBM;IBM System x3250;01. Серверы -> 1-процессорные серверы;15.00;100,32
5458E4G;"IBM Express x3250 M5 Rack 1U,1xXeon E3-1220v3 4C(3.1GHz/8MB/1600 DDR3/80W),4GB 1.35V 1600MHz UDIMM,noHDD 2.5""HS SAS/SATA(up4),H1110(RAID 0, 1, 10),DVDRW,2xGbE,1x300W 80+ Bronze Fix PSU(analog5458C4G)";1;1;;1195;;;3 года;IBM;IBM System x3250;01. Серверы -> 1-процессорные серверы;16.00;132,00
Категория - 01. Серверы-> 1-процессорные серверы->Lenovo ThinkServer RS140;;;;;;;;;;;;;
70F30012EA;ThinkServer RS140 SFF E3-1226v3 Rack(1U)/Xeon4C 3.3GHz(8Mb)/1x4GbUDIMM1600/Raid 100(0/1/10/5)/noHDD(4)SFF/DVDRW/IAMT9/2x1GbEthernet/PS300W(NHP)/W1Yonsite;0;0;;871.2;;Нов.;1 год;Lenovo;Lenovo ThinkServer RS140;01. Серверы -> 1-процессорные серверы;18.00;106,72
70F9001EEA;ThinkServer RS140 i3-4150 Rack(1U)/2C 3.5GHz(3Mb)/1x4GbUDIMM_1600/Raid 100(0/1/10/5)/noHDD(2)LFF/DVDRW/ISM/2x1GbEthernet/PS300W(NHP)/W1Yonsite;0;0;;704.9;;Нов.;1 год;Lenovo;Lenovo ThinkServer RS140;01. Серверы -> 1-процессорные серверы;18.00;106,72
70F9001DEA;ThinkServer RS140 G3240 Rack(1U)/2C 3.1GHz(3Mb)/1x4GbUDIMM_1600/Raid 100(0/1/10/5)/noHDD(2)LFF/DVDRW/ISM/2x1GbEthernet/PS300W(NHP)/W1Yonsite;0;0;;654.4;;Нов.;1 год;Lenovo;Lenovo ThinkServer RS140;01. Серверы -> 1-процессорные серверы;18.00;106,72
70F9A000RU;ThinkServer RS140 E3-1225v3 Rack(1U)/Xeon4C 3.2GHz(8Mb)/1x8GbUDIMM1600/Raid 100(0/1/10/5)/2x1TbLFF(NHP)/DVDRW/IAMT9/2x1GbEthernet/PS300W(NHP)/1/1;много;много;;1010;;;1 год;Lenovo;Lenovo ThinkServer RS140;01. Серверы -> 1-процессорные серверы;18.00;106,72
70F9001JEA;ThinkServer RS140 E3-1226v3 Rack(1U)/Xeon4C 3.3GHz(8Mb)/1x4GbUDIMM1600/Raid 100(0/1/10/5)/2x1TbLFF(NHP)/DVDRW/IAMT9/2x1GbEthernet/PS300W(NHP)/W3Yonsite;0;0;;1063.3;;Нов.;3 года;Lenovo;Lenovo ThinkServer RS140;01. Серверы -> 1-процессорные серверы;18.00;106,72
70F9001CEA;ThinkServer RS140 E3-1226v3 Rack(1U)/Xeon4C 3.3GHz(8Mb)/1x4GbUDIMM1600/Raid 100(0/1/10/5)/noHDD(2)LFF/DVDRW/IAMT9/2x1GbEthernet/PS300W(NHP)/W1Yonsite;0;0;;843.5;;Нов.;1 год;Lenovo;Lenovo ThinkServer RS140;01. Серверы -> 1-процессорные серверы;18.00;106,72
Категория - 01. Серверы-> 1-процессорные серверы->Lenovo ThinkServer TS140;;;;;;;;;;;;;
70A4003TRU;ThinkServer TS140 i3-4350 NHP Tower(4U)/2C 3.6GHz(4Mb)/1x4GbUD(1600)/Raid 100(0/1/10/5)/1x1Tb7.2kHDD(4up)LFF/DVDRW/ISM/1x1GbEth/1x280W(NHP)/W1Yonsite;0;0;;660.3;;Нов.;1 год;Lenovo;Lenovo ThinkServer TS140;01. Серверы -> 1-процессорные серверы;11.30;79,50
70A4003ARU;ThinkServer TS140 E3-1226v3 NHP Tower(4U)/Xeon4C 3.3GHz(8Mb)/1x4GbUD(1600)/RAID100 SATA/5/1+0/1/0)/noHDD(4up)LFF/DVDRW/IAMT9/1x1GbEth/1x280W(NHP)/W1Yonsite;0;0;;688.1;;Нов.;1 год;Lenovo;Lenovo ThinkServer TS140;01. Серверы -> 1-процессорные серверы;11.30;79,50
70A5001YRU;ThinkServer TS140 E3-1226v3 NHP Tower(4U)/Xeon4C 3.3GHz(8Mb)/1x4GbUD(1600)/RAID100 SATA/5/1+0/1/0)/2x1Tb7.2kHDD(4up)LFF/DVDRW/IAMT9/1x1GbEth/1x450W(NHP)/W3Yonsite;0;0;;893;;Нов.;3 года;Lenovo;Lenovo ThinkServer TS140;01. Серверы -> 1-процессорные серверы;11.30;79,50
70A4003QRU;ThinkServer TS140 E3-1226v3 NHP Tower(4U)/Xeon4C 3.3GHz(8Mb)/2x8GbUD(1600)/RAID100 SATA/5/1+0/1/0)/2x1Tb7.2kHDD(4up)LFF/DVDRW/IAMT9/1x1GbEth/1x280W(NHP)/W1Yonsite;0;0;;1011.8;;Нов.;1 год;Lenovo;Lenovo ThinkServer TS140;01. Серверы -> 1-процессорные серверы;11.30;79,50
70A5001TRU;ThinkServer TS140 E3-1246v3 NHP Tower(4U)/Xeon4C 3.5GHz(8Mb)/1x4GbUD(1600)/RAID100 SATA/5/1+0/1/0)/2x1Tb7.2kHDD(4up)LFF/DVDRW/IAMT9/1x1GbEth/1x450W(NHP)/W3Yonsite;0;0;;967.2;;Нов.;3 года;Lenovo;Lenovo ThinkServer TS140;01. Серверы -> 1-процессорные серверы;11.30;79,50
70A4A01JRU;ThinkServer TS140 E3-1225v3 NHP Tower(4U)/Xeon4C 3.2GHz(8Mb)/1x4GbUD(1600)/RAID100 SATA/5/1+0/1/0)/2x1Tb7.2kHDD(4up)LFF/DVDRW/IAMT9/1x1GbEth/1x280W(NHP), 1/1;5;5;;845;;;3 года;Lenovo;Lenovo ThinkServer TS140;01. Серверы -> 1-процессорные серверы;11.30;79,50
70A4003PRU;ThinkServer TS140 G3240 NHP Tower(4U)/2C 3.1GHz(3Mb)/1x4GbUD(1600)/Raid 100(0/1/10/5)/1x1Tb7.2kHDD(4up)LFF/DVDRW/ISM/1x1GbEth/1x280W(NHP)/W1Yonsite;0;0;;557.4;;Нов.;1 год;Lenovo;Lenovo ThinkServer TS140;01. Серверы -> 1-процессорные серверы;11.30;79,50
70A50021RU;ThinkServer TS140 E3-1276v3 NHP Tower(4U)/Xeon4C 3.6GHz(8Mb)/2x4GbUD(1600)/RAID100 SATA/5/1+0/1/0)/2x1Tb7.2kHDD(4up)LFF/DVDRW/IAMT9/1x1GbEth/1x450W(NHP)/W3Yonsite;0;0;;1106.8;;Нов.;3 года;Lenovo;Lenovo ThinkServer TS140;01. Серверы -> 1-процессорные серверы;11.30;79,50
70A4003NRU;ThinkServer TS140 E3-1226v3 NHP Tower(4U)/Xeon4C 3.3GHz(8Mb)/1x4GbUD(1600)/RAID100 SATA/5/1+0/1/0)/2x1Tb7.2kHDD(4up)LFF/DVDRW/IAMT9/1x1GbEth/1x280W(NHP)/W1Yonsite;0;0;;872.2;;Нов.;1 год;Lenovo;Lenovo ThinkServer TS140;01. Серверы -> 1-процессорные серверы;11.30;79,50
70A5001URU;ThinkServer TS140 E3-1246v3 NHP Tower(4U)/Xeon4C 3.5GHz(8Mb)/1x4GbUD(1600)/RAID100 SATA/5/1+0/1/0)/2x1Tb7.2kHDD(4up)LFF/DVDRW/IAMT9/1x1GbEth/1x450W(NHP)/W1Yonsite;0;0;;966.2;;Нов.;1 год;Lenovo;Lenovo ThinkServer TS140;01. Серверы -> 1-процессорные серверы;11.30;79,50
70A4003KRU;ThinkServer TS140 G3240 NHP Tower(4U)/2C 3.1GHz(3Mb)/1x4GbUD(1600)/Raid 100(0/1/10/5)/noHDD(4up)LFF/DVDRW/ISM/1x1GbEth/1x280W(NHP)/W1Yonsite;0;0;;454.4;;Нов.;1 год;Lenovo;Lenovo ThinkServer TS140;01. Серверы -> 1-процессорные серверы;11.30;79,50
Категория - 01. Серверы-> 1-процессорные серверы->Supermicro SuperServer;;;;;;;;;;;;;
SYS-1018R-WC0R;Supermicro SuperServer 1U 1018R-WC0R no CPU(1)/ no memory(8)/ on board C612 RAID 0/1/5/10/ no HDD(8)SFF/ 2xGE/ R700W/750W Platinum;0;5;;1375.7;;;1 год;Supermicro;Supermicro SuperServer;01. Серверы -> 1-процессорные серверы;0.00;0,00
SYS-5018D-MF;Supermicro SuperServer 1U 5018D-MF no CPU(1)/ no memory(4)/ on board RAID 0/1/5/10/ no internal HDD(2)LFF/ 2xGE/ 1noRx350W Gold;0;5;;530.5;;;1 год;Supermicro;Supermicro SuperServer;01. Серверы -> 1-процессорные серверы;0.00;0,00
SYS-5018D-MTRF;Supermicro SuperServer 1U 5018D-MTRF no CPU(1)/ no memory(4)/ on board RAID 0/1/5/10/ no HDD(4)LFF/ 2xGE/ 2Rx400W Gold;0;много;;998.1;;;1 год;Supermicro;Supermicro SuperServer;01. Серверы -> 1-процессорные серверы;0.00;0,00
SYS-5018R-M;Supermicro SuperServer 1U 5018R-M no CPU(1)/ no memory(8)/ on board C612 RAID 0/1/10/ no HDD(4)LFF/ 2xGE/ 1noRx350W Gold;0;5;;831.7;;;1 год;Supermicro;Supermicro SuperServer;01. Серверы -> 1-процессорные серверы;0.00;0,00
SYS-5028R-WR;Supermicro SuperServer 2U 5028R-WR no CPU(1)/ no memory(8)/ on board C612 RAID 0/1/10/ no HDD(8)LFF/ 2xGE/ 2Rx500W Platinum;0;много;;1330.8;;;1 год;Supermicro;Supermicro SuperServer;01. Серверы -> 1-процессорные серверы;0.00;0,00
SYS-5018R-MR;Supermicro SuperServer 1U 5018R-MR no CPU(1)/ no memory(8)/ on board C612 RAID 0/1/5/10/ no HDD(4)LFF/ 2xGE/ 2Rx400W Gold;0;6;;1156.9000000000001;;;1 год;Supermicro;Supermicro SuperServer;01. Серверы -> 1-процессорные серверы;0.00;0,00
SYS-5018D-MTF;Supermicro SuperServer 1U 5018D-MTF no CPU(1)/ no memory(4)/ on board RAID 0/1/5/10/ no HDD(4)LFF/ 2xGE/ 1noRx350W Gold;0;много;;675.9;;;1 год;Supermicro;Supermicro SuperServer;01. Серверы -> 1-процессорные серверы;0.00;0,00
SYS-5018D-MTLN4F;Supermicro SuperServer 1U 5018D-MTLN4F no CPU(1)/ no memory(4)/ on board RAID 0/1/5/10/ no HDD(4)LFF/ 4xGE/ 1noRx350W Gold;0;5;;707.3;;;1 год;Supermicro;Supermicro SuperServer;01. Серверы -> 1-процессорные серверы;0.00;0,00
Категория - 01. Серверы-> 2-процессорные серверы->ASUS RS700;;;;;;;;;;;;;
RS720-E7-RS12-E;Серверная платформа ASUS RS720-E7-RSE/WOCPU/WOMEM/WOHDD//2CEE/WOD/EN;1;1;;1900;;;3 года;ASUS;ASUS RS700;01. Серверы -> 2-процессорные серверы;22.80;118,00
RS700-E7-RS4-C;Серверная платформа ASUS RS700-E7-R4C/WOCPU/WOMEM/WOHDD//2CEE/DVR/EN;много;много;;1200;;;3 года;ASUS;ASUS RS700;01. Серверы -> 2-процессорные серверы;20.00;102,60
RS700-E8-RS8;Серверная платформа ASUS RS700-E8-RS8/DVR/2CEE/WOC/WOM/WOH/WOR/IK8/EN;3;3;;1450;;;3 года;ASUS;ASUS RS700;01. Серверы -> 2-процессорные серверы;19.50;98,28
RS720-X7-RS8;Серверная платформа ASUS RS720-X7-RS8/WOCPU/WOMEM/WOHDD//2CEE/DVR/EN;много;много;;1300;;;3 года;ASUS;ASUS RS700;01. Серверы -> 2-процессорные серверы;22.00;120,00
