Всего позиций: 11584 ;;;;;;;;;;;
Артикул;Наименование;Производитель;Св.;Св.+Тр.;Б. Тр.;Цена*;Цена руб.**;Доп.;;;
Аксессуары и портативная электроника->Web-камеры;;;;;;;;;;;
SRT8KXLI;APC Smart-UPS SRT, 8000VA/8000W, On-Line, Extended-run, Black, Tower (Rack 6U convertible), Pre-Inst. Web/SNMP, with PC Business;APC;много ;много ;;4609;;М
SRT8KRMXLI;APC Smart-UPS SRT RM, 8000VA/8000W, On-Line, Extended-run, Rack 6U (Tower convertible), Pre-Inst. Web/SNMP, with PC Business, Black;APC;много ;много ;;4791;;М
SURT10000RMXLI;APC Smart-UPS RT RM, 10000VA/8000W, On-Line, 1:1 or 3:1, Rack 6U (Tower convertible), Extended-run, Pre-Inst. AP9619, with PC Business, Black (SURT10000XLI + SURTRK2);APC;много ;много ;;5216;;НЗС М
SRT10KXLI;APC Smart-UPS SRT, 10000VA/10000W, On-Line, Extended-run, Black, Tower (Rack 6U convertible), Pre-Inst. Web/SNMP, with PC Business;APC;много ;много ;;5565;;М
SRT10KRMXLI;APC Smart-UPS SRT RM, 10000VA/10000W, On-Line, Extended-run, Rack 6U (Tower convertible), Pre-Inst. Web/SNMP, with PC Business, Black;APC;много ;много ;25.02.2015(ОТС);5742;;М
SUVTP10KH1B2S;APC Smart-UPS VT 10KVA/ 8kW 400V w/1 Batt Mod Exp to 2, Int Maint Bypass, Parallel Capable(SUVTP10KH1B2S);APC;0 ;0 ;;7901.5;;;;;
SURT15KRMXLI;APC Smart-UPS RT RM, 15kVA/12kW, On-Line, 1:1 or 3:1, Rack 12U, Extended-run, Pre-Installed Web/SNMP Card, with PC Business, Black;APC;много ;много ;;10640;;М;;;
SUVTP15KH4B4S;APC Smart-UPS VT 15KVA/ 12kW 400V w/4 Batt Mod Exp to 4, Int Maint Bypass, Parallel Capable, w/Start-Up Servise;APC;2 ;2 ;;11268.9;;;;;
SURT20KRMXLI;APC Smart-UPS RT RM, 20kVA/16kW, On-Line, 1:1 or 3:1, Rack 12U, Extended-run, Pre-Installed Web/SNMP Card, with PC Business, Black;APC;много ;много ;ППЗ;11895;;М;;;
Источники бесперебойного питания->ИБП для серверов и сетевых устройств->ИБП linе interactive;;;;;;;;;;;
SC420I;Smart-UPS 420VA/260W, 230V, Line-Interactive, Data line surge protection, Hot Swap User Replaceable Batteries, PowerChute;APC;много ;много ;;161.1;;М;;;
SC620I;Smart-UPS 620VA/390W, 230V, Line-Interactive, Data line surge protection, Hot Swap User Replaceable Batteries, PowerChute;APC;много ;много ;;230.4;;М;;;
SUA750I;Smart-UPS 750VA/500W, Input 230V/Output 230V, Interface Port DB-9 RS-232, USB, SmartSlot, PowerChute, BLACK;APC;много ;много ;ППЗ;329.7;;М;;;
SMT750I;APC Smart-UPS 750VA/500W, Line-Interactive, LCD, Out: 220-240V 6xC13, SmartSlot, USB, HS User Replaceable Bat, Black, 3(2) y.war. (REP: SUA750I);APC;много ;много ;;345.8;;М;;;
SMC1000I;Smart-UPS C 1000VA/600W, 230V, Line-Interactive, LCD (REP.SC1000I);APC;много ;много ;;409.9;;М;;;
SMT1000I;APC Smart-UPS 1000VA/670W, Line-Interactive, LCD, Out: 220-240V 8xC13 (4-Switched), SmartSlot, USB, HS User Replaceable Bat, Black, 3(2) y.war. (REP: SUA1000I);APC;много ;много ;;479.6;;М;;;
SMC1500I;Smart-UPS C 1500VA/900W, 230V, Line-Interactive, LCD (REP.SC1500I);APC;много ;много ;;543.29999999999995;;М;;;
SMC1000I-2U;Smart-UPS C 1000VA/600W, 2U RackMount, 230V, Line-Interactive, LCD (REP.SC1000I);APC;много ;много ;ПП;590.5;;М;;;
SMT1500I;APC Smart-UPS 1500VA/980W, Line-Interactive, LCD, Out: 220-240V 8xC13 (4-Switched), SmartSlot, USB, HS User Replaceable Bat, Black, 3(2) y.war. (REP: SUA1500I);APC;много ;много ;;650.4;;М;;;
SUA1000XLI;Smart-UPS 1000VA/800W, 230V, Extended Runtime, Line-Interactive, user repl. batt., SmartSlot, USB, PowerChute, BLACK;APC;много ;много ;;651.9;;НЗС М;;;
SMC1500I-2U;Smart-UPS C 1500VA/900W 2U RackMount, 230V, Line-Interactive, LCD (REP.SC1500I);APC;много ;много ;;742.7;;М;;;
SMC2000I;Smart-UPS C 2000VA/1300W, 230V, Line-Interactive, LCD;APC;много ;много ;;810.9;;М;;;
SMT2200I;APC Smart-UPS 2200VA/1980W, Line-Interactive, LCD, Out: 220-240V 8xC13 (4-Switched) 1xC19, SmartSlot, EPO, HS User Replaceable Bat, Black, 3(2) y.war.(REP: SUA2200I);APC;много ;много ;26.02.2015(ОТС);1008.4;;М;;;
SUA2200I;Smart-UPS 2200VA/1980W, 230V, Line-Interactive, Hot Swap User Replaceable Batteries, SmartSlot, USB & Serial, PowerChute, BLACK;APC;много ;много ;;1057.3;;М;;;
SMC2000I-2U;Smart-UPS C 2000VA/1300W 2U RackMount, 230V, Line-Interactive, LCD;APC;много ;много ;;1131.3;;М;;;
SMC3000I;Smart-UPS C 3000VA/2100W, 230V, Line-Interactive, LCD;APC;много ;много ;;1382.3;;М;;;
SMC3000RMI2U;Smart-UPS C 3000VA/2100W 2U RackMount, 230V, Line-Interactive, LCD;APC;много ;много ;;1438.7;;М;;;
SUA3000I;Smart-UPS 3000VA/2700W, 230V, Line-Interactive, Hot Swap User Replaceable Batteries, SmartSlot, USB & Serial, PowerChute, BLACK;APC;много ;много ;;1468;;НЗС;;;
SMT3000I;APC Smart-UPS 3000VA/2700W, Line-Interactive, LCD, Out: 220-240V 8xC13 (4-Switched) 1xC19, SmartSlot, EPO, HS User Replaceable Bat, Black, 3(2) y.war.(REP: SUA3000I);APC;много ;много ;;1544.1;;М;;;
SUA3000XLI;Smart-UPS XL 3000VA/2700W, 230V, Extended Runtime, Line-Interactive, user repl. batt., SmartSlot, USB, RS-232, PowerChute Tower/Rackmount (5U);APC;0* ;0 ;;1770;;НЗС;;;
Источники бесперебойного питания->Опции и дополнительное оборудование АРС;;;;;;;;;;;
AP9612TH;APC Environmental Monitoring SmartSlot Card (Temperature & Humidity);APC;1 ;1 ;;15;;НЗС;;;
PS9-DTE;APC ProtectNet 9 pin Serial Protector for DTE;APC;0 ;0 ;;19.8;;;;;
PTEL2R;APC REPLACEABLE, RACKMOUNT, 1U, 2 LINE TELCO SURGE PROTECTION MODULE;APC;много ;много ;;22.7;;НЗС;;;
PNETR6;APC REPLACEABLE, RACKMOUNT, 1U, CAT 6 NETWORK SURGE PROTECTION MODULE;APC;много ;много ;;22.7;;;;;
PTEL2;APC ProtectNet 2-line Telephone Protector;APC;мало ;мало ;;24.2;;;;;
PNET1GB;APC PROTECTNET WITH GIGABIT PROTECTION;APC;много ;много ;;26;;;;;
940-0020;APC Interface cable for Windows NT, Novell, LAN Server, LANtastic, Pathworks(OS/2), LAN Manager;APC;1 ;1 ;;31.2;;
AP8759;APC Power Cord, Locking C19 to Rewireable, 3.0m;APC;много ;много ;;32.299999999999997;;
AP9892;APC PWR CORD, 16A, 100-230V, 0,6 m, C19 TO C20;APC;много ;много ;;35;;
M5WH-EC;APC Mobile Power Pack, 5000mAh Li-polymer, White ( EMEA/CIS/MEA);APC;много ;много ;;35.200000000000003;;
M5BK-EC;APC Mobile Power Pack, 5000mAh Li-polymer, Black ( EMEA/CIS/MEA);APC;много ;много ;;35.200000000000003;;
940-0024;APC Smart signalling Interface cable for Windows NT/2000/98, Novell Netware, AIX, Unix (all but Irix) to sell with AP9623 only;APC;2 ;2 ;;37.5;;
AR7540;Toolless Cable Management Rings (Qty 10);APC;много ;много ;;40;;
AP9827;Simple Signaling UPS Cable - USB to RJ45;APC;много ;много ;;42.4;;
APCRBC106;Battery replacement kit for BE400-RS;APC;много ;много ;;45.8;;
AP8755;APC Power Cord, Locking C19 to CEE/7 Schuko, 3.0m;APC;много ;много ;;49.1;;
M10WH-EC;APC Mobile Power Pack, 10000mAh Li-polymer, White ( EMEA/CIS/MEA);APC;мало ;мало ;;50.8;;
M10BK-EC;APC Mobile Power Pack, 10000mAh Li-polymer, Black ( EMEA/CIS/MEA);APC;много ;много ;;50.8;;
APCRBC110;Battery replacement kit for BE550G-RS, BR550GI, BR650CI-RS;APC;0* ;0 ;;54.6;;
AP9620;Legacy Communications SmartSlot Card;APC;1 ;1 ;;60;;
AP8702S-WW;Power Cord Kit (6 ps), Locking, IEC 320 C13 to IEC 320 C14, 10A, 208/230V, 0,6 m (repl. AP8702S);APC;много ;много ;ПП;70.8;;
AP8702R-WW;Power Cord Kit (6 ps), Locking, IEC 320 C13 to IEC 320 C14 (90 degree), 10A, 208/230V, 0,6 m, 3 Left + 3 Right (repl. AP8702R);APC;1 ;1 ;;70.8;;
SU032A;APC 4-POST RACKMOUNT RAILS;APC;0 ;0 ;;73.8;;
ACF001RF;APC Replacement Filter Air Distribution Unit - 3 Packs;APC;0* ;2 ;26.02.2015(ОТС);74.400000000000006;;
AP7769;Cord Retention Bracket for Rack ATS;APC;0* ;0 ;;80;;
AP7768;BRACKET KIT, REAR RAILS, RACK ATS;APC;0* ;0 ;;80;;
KVM-LCDMOUNT;APC KVM 2G, LCD Rear Mounting Kit;APC;1 ;1 ;;85.4;;НЗС
AP8760;APC Power Cord, Locking C19 to C20, 3.0m;APC;много ;много ;;86.1;;
AP9335T;APC Temperature Sensor;APC;много ;много ;;102;;
AP8758;Power Cord, Locking C19 to IEC309-16A, 3.0m;APC;много ;много ;;105;;
AP9512TBLK;APC Temperature Sensor (AP9512TBLK);APC;0 ;0 ;;107.1;;
AR8183BLK;APC Data Cable Partition, InfraStruXure PDU, 750mm Wide, pass-through;APC;много ;много ;;110;;
AP8704S-WW;Power Cord Kit (6 ps), Locking, IEC 320 C13 to IEC 320 C14, 10A, 208/230V, 1,2 m (repl. AP8704S);APC;много ;много ;;111.2;;
AP8704R-WW;Power Cord Kit (6 ps), Locking, IEC 320 C13 to IEC 320 C14 (90 Degree), 10A, 208/230V, 1.2m, 3 Left + 3 Right (repl. AP8704R);APC;много ;много ;;111.2;;
AP9569;APC Cord Retention Bracket for Basic Rack PDUs;APC;0 ;0 ;;114.6;;
SUVTOPT002;APC Smart-UPS VT Conduit Box for 20.59inch/523mm UPS Enclosure;APC;0 ;0 ;;120.6;;
AP9810;APC Dry Contact I/O Accessory;APC;много ;много ;25.02.2015(ОТС);126.3;;
AP8706S-WW;Power Cord Kit (6 ps), Locking, IEC 320 C13 to IEC 320 C14, 10A, 208/230V, 1,8m (repl. AP8706S);APC;много ;много ;;154.6;;
AP8706R-WW;Power Cord Kit (6 pack), Locking, C13 to C14 (90 Degree), 1.8m (repl. AP8706R);APC;много ;много ;;154.6;;
AP9335TH;APC Temperature & Humidity Sensor;APC;много ;много ;ПП;157.6;;
AP9512THBLK;APC Temperature & Humidity Sensor;APC;0 ;0 ;;163.30000000000001;;
AP9607;APC 2-Port Serial Interface Expander SmartSlot Card;APC;1 ;1 ;;169.1;;
SURT007;APC Smart-UPS RT 3000/5000/6000 VA Input/Output Hardwire Kit;APC;1 ;много ;;174.1;;
SURTRK;APC Smart-UPS RT 19” RailKit, for Smart UPS RT1000 & 2000 & Battery-pack;APC;много ;много ;;175;;
SURTRK2;"APC Smart-UPS RT 19"" Rail Kit compatible for APC Smart-UPS RT 3000 - 10000VA & battery pack";APC;много ;много ;;175;;
AP9625;APC 2-Post Mounting Kit for Smart-UPS and Symmetra;APC;много ;много ;;183;;
SRTRK2;"APC Smart-UPS SRT 19"" Rail Kit for Smart-UPS SRT 5/6/8/10kVA";APC;много ;много ;;206.5;;
AP9613;Dry Contact I/O SmartSlot Card (repl. AP9610);APC;0* ;много ;25.02.2015(ОТС);206.9;;
SURTRK4;"APC Smart-UPS RT 19"" Rail Kit for Smart-UPS RT 15/20kVA";APC;1 ;1 ;;211;;
AP9520T;APC A-LINK TEMPERATURE SENSOR W/DISPLAY;APC;0 ;0 ;;239.6;;
66123;APC MGE Network Management Card with ModBus/Jbus;APC;2 ;2 ;;250;;НЗС
AP9607CB;APC Interface Expander with 2 UPS Communication Cables SmartSlot Card;APC;2 ;2 ;;255.6;;
AP9520TH;APC A-LINK TEMPERATURE/HUMIDITY SENSOR W/DISPLAY;APC;0 ;0 ;;291;;
AP9630;APC UPS Network Management Card 2 (HTTPS/SSL, SSH (up to 2048-bit encr.), SNMPv3 CD with software (new release AP9617);APC;много ;много ;ПП;298.10000000000002;;
SBP3000;"APC Service Bypass Panel- 100-240V; 30A; BBM; Hardwire Input/Output";APC;0* ;0 ;;312.3;;
SBP3000RMI;APC SERVICE BYPASS PDU, 230V 16AMP W/ (6) IEC C13 AND (1) C19;APC;0* ;2 ;25.02.2015(ОТС);322.8;;
SBP3000RMHW;APC SERVICE BYPASS PDU, 230V 16AMP Hardwire;APC;0 ;1 ;25.02.2015(ОТС);322.8;;
SSPCBE91-25;PowerChute Business Edition Deluxe 25 Node - v9.1 CD;APC;0* ;0 ;;345.8;;
AP9622;SmartSlot MODBUS/JBUS INTERFACE CARD;APC;0 ;1 ;ППЗ;368.3;;
SURT008;APC Smart-UPS RT 15ft Extension Cable for 192VDC External Battery Packs;APC;много ;много ;;379;;
AP9207;APC Share-UPS 8-Port Interface Expander, multiple server shutdown and out of band management;APC;2 ;2 ;;389.5;;
SBP5000RMI2U;"APC Service Bypass Panel- 230V; 32A; BBM; IEC320 C20/HW input; IEC-320 Output- (2) C19 (8) C13";APC;много ;много ;25.02.2015(ОТС);405.8;;
AP7554;"APC Rack PDU,Basic,ZeroU,16A,230V,(20)C13 & (4)C19; IEC309, 10 ft Cord";APC;много ;много ;;437.3;;
SYRIM3;Symmetra RM 2-6kVA and 8-12kVA Redundant Intelligence Module;APC;1 ;1 ;;481.2;;НЗС
AP9631;APC UPS Network Management Card 2 with Env. Monitoring (HTTPS/SSL, SSH (up to 2048-bit encr.), SNMPv3, CD with software, Temp. Sensor (new release AP9619);APC;много ;много ;25.02.2015(ОТС);485.6;;
KVM0108A;APC KVM 2G, Analog, 1 Local User, 8 ports;APC;1 ;1 ;;520.70000000000005;;
AP9618;APC Network Management Card EM MDM 10/100BaseT with Modem, Environmental monitoring, Dry Contact inputs, Auto-sensing LAN Connection;APC;много ;много ;ППЗ;577.4;;
66074;APC MGE SNMP/Web Card;APC;0* ;0 ;;582;;
SYAOPT5I;APC SYMMETRA LX 4.5 METER BATTERY CABINET CABLE- 230V;APC;1 ;1 ;;640.29999999999995;;НЗС
KVM0116A;APC KVM 2G, Analog, 1 Local User, 16 ports;APC;2 ;2 ;;704.4;;
AR100;APC NetShelter Wall Mount Enclosure 13Ux584X622mm-Black with Glass door;APC;много ;много ;;748.1;;;;;
SBP10KRMI4U;"APC Service Bypass Panel- 230V; 100A; MBB; Hardwire input; IEC-320 output- (8) C13 (2) C19";APC;0* ;0 ;;750;;;;;
SYMIM3;Symmetra RM Main Inetelligence Module;APC;2 ;2 ;;800.1;;;;;
SBP16KRMI4U;"APC Service Bypass Panel- 230V; 100A; MBB; Hardwire input; (3) 30A Hardwire Output";APC;много ;много ;;813.5;;;;;
SBP16KP;"APC Service Bypass Panel- 200/208/240V; 100A; MBB; Hardwire input/output";APC;2 ;2 ;;911;;;;;
AP7722A;APC Rack ATS, 16A, 230V, (2)IEC 309 in, (1)IEC 309 Out;APC;много ;много ;;1082.9000000000001;;;;;
KVM0216A;APC KVM 2G, Enterprise Analog, 2 Local Users, 16 ports with Virtual Media;APC;0 ;0 ;;1214.5;;;;;
KVM1116P;APC KVM 2G, Digital/IP, 1 Remote User, 1 Local User, 16 ports with Virtual Media;APC;0 ;0 ;;1237.4000000000001;;;;;
ACF402;APC Rack Air Removal Unit 100-240V 50/60HZ for NetShelter SX 750 mm Enclosure;APC;1 ;1 ;;2982.8;;;;;
AP9470;APC InfraStruXure Central 3.0 Standard;APC;0* ;0 ;;9095.9;;;;;
Источники бесперебойного питания->Сетевые фильтры;;;;;;;;;;;
SP-2E-W;Тройник ЭРА 2гн, с заземл, со шторками (белый);Прочее;1 ;1 ;;;70;;;;
UX-3-3M;Удлинитель ЭРА без заземл, 1300Вт, 3гн, 3м;Прочее;много ;много ;;;80;;;;
UX-3-5M;Удлинитель ЭРА без заземл, 1300Вт, 3гн, 5м;Прочее;много ;много ;;;95;;;;
UX-5-3M;Удлинитель ЭРА без заземл, 1300Вт, 5гн, 3м;Прочее;0 ;0 ;;;100;;;;
SP-3E-W;Тройник ЭРА 3гн, c заземл, со шторками (белый);Прочее;0 ;0 ;;;102;;;;
U-3-3M;Удлинитель ЭРА без зазeмл, 2х0.75мм2, 3гн, 3м;Прочее;1 ;1 ;;;110;
UX-5S-3M;Удлинитель ЭРА без заземл, с выкл, 1300Вт, 5гн, 3м;Прочее;0 ;0 ;;;110;
UX-5-5M;Удлинитель ЭРА без заземл, 1300Вт, 5гн, 5м;Прочее;много ;много ;;;115;
UX-5S-5M;Удлинитель ЭРА без заземл, с выкл, 1300Вт, 5гн, 5м;Прочее;0 ;0 ;;;130;
U-3-5M;Удлинитель ЭРА без зазeмл, 2х0.75мм2, 3гн, 5м;Прочее;много ;много ;;;140;
U-3ES-3M;Удлинитель ЭРА с заземл, 3x1мм2, с выкл, 3гн, 3м;Прочее;0 ;0 ;;;175;
U-5E-3M;Удлинитель ЭРА с зазeмл, 3x1мм2, 5гн, 3м;Прочее;0 ;0 ;;;190;
U-5ES-3M;Удлинитель ЭРА с зазeмл, 3х1мм2, с выкл, 5гн, 3м;Прочее;0 ;0 ;;;223;
U-5E-5M;Удлинитель ЭРА с зазeмл, 3x1мм2, 5гн, 5м;Прочее;0 ;0 ;;;235;
EHB-10;Гарнизон EHB-10, 3.0м, 6 розеток, черный;Прочее;0 ;0 ;;3.8;;
SPG-B-6;Power Cube B, 1.9м, 5 розеток, серый;Прочее;0 ;0 ;;4.5999999999999996;;
SPG-B-6-WHITE;Power Cube B, 1.9м, 5 розеток, белый;Прочее;0 ;0 ;;4.5999999999999996;;
SPG-B-6-BLACK;Power Cube B, 1.9м, 5 розеток, черный;Прочее;0 ;0 ;;4.5999999999999996;;
SP-3E-USB;Тройники и колодки ЭРА Тройник 3гн 220V + 2xUSB 1000mA, c заземл, со шт (белый);Прочее;0* ;0 ;;;305;
SF-5ES-2M-B;Сетевой фильтр ЭРА (черный) с заземл, 3x1мм2, со шт, с выкл, 5гн, 2м, кор;Прочее;0 ;0 ;;;330;
SPG-B-10;Power Cube B, 3.0м, 5 розеток, серый;Прочее;0 ;0 ;;5.55;;
SPG-B-10-BLACK;Power Cube B, 3.0м, 5 розеток, черный;Прочее;0 ;0 ;;5.55;;
SPG-B-10-WHITE;Power Cube B, 3.0 м, 5 розеток, белый;Прочее;0 ;0 ;;5.55;;
SF-5ES-4M-B;Сетевой фильтр ЭРА (черный) с заземл, 3x1мм2, со шт, с выкл, 5гн, 4м, кор;Прочее;0 ;0 ;;;410;
SF-5ES-4M-W;Сетевой фильтр ЭРА (белый) с заземл, 3x1мм2, со шт, с выкл, 5гн, 4м, кор;Прочее;0 ;0 ;;;410;
SPG-B-15;Power Cube B, 5.0м, 5 розеток, серый;Прочее;0 ;0 ;;6.85;;
SPG-B-15-BLACK;Power Cube B, 5.0м, 5 розеток, черный;Прочее;0 ;0 ;;6.85;;
SFU-5ES-2M-W;Сетевой фильтр ЭРА (белый) с заземл, 3x1мм2, со шт, с выкл, 5гн+2xUSB, 2м, кор;Прочее;0 ;0 ;;;550;
SFU-5ES-2M-B;Сетевой фильтр ЭРА (черный) с заземл, 3x1мм2, со шт, с выкл, 5гн+2xUSB, 2м, кор;Прочее;0 ;0 ;;;550;
P43-RS;APC Essential SurgeArrest 4 outlets, 1 meter power cord, 230V Russia;APC;много ;много ;;13.8;;
P43B-RS;APC Essential SurgeArrest 4 outlets, 1 meter power cord, 230V Russia;APC;много ;много ;;13.8;;
P1-RS;APC Essential SurgeArrest 1 outlet 230V Russia;APC;много ;много ;;14.6;;
P1T-RS;APC Essential SurgeArrest 1 outlet with Phone Protection 230V Russia;APC;много ;много ;;19.100000000000001;;
P5B-RS;APC Essential SurgeArrest 5 outlets 230V Russia (1,8m);APC;0* ;много ;;22;;
P5BT-RS;APC Essential SurgeArrest 5 outlets with Phone Protection 230V Russia (1,8m);APC;много ;много ;;27.9;;
P5BV-RS;APC Essential SurgeArrest 5 outlets with Coax Protection 230V Russia (1,8m);APC;мало ;мало ;;27.9;;
PH6T3-RS;APC Home/Office SurgeArrest 6 outlets with Phone Protection 230V Russia (2,5m);APC;много ;много ;;36.200000000000003;;
PH6VT3-RS;APC Home/Office SurgeArrest 6 outlets with Phone & Coax Protection 230V Russia (2,5m);APC;много ;много ;;41.8;;;;;
PF8VNT3-RS;APC Performance SurgeArrest 8 outlets with Phone, Coax & Network Protection 230V Russia (3,0m);APC;много ;много ;;54.3;;;;;
PF8T3V-RS;APC Performance AUDIO-VIDEO SurgeArrest 8 outlets with Phone & CoaxProtection 230V Russia, Silver (3,0m);APC;много ;много ;;62.7;;;;;
Коммуникационные шкафы, KVM->KVM-оборудование;;;;;;;;;;;
2L-5002U;"ATEN CABLE HD15M/USB A-HD15F/USB B; 1.8M*2L-5002U";ATEN;0 ;0 ;;10.85;;;;;
2L-5201U;"CABLE HD15M/USB A(M)--SPHD15M; 1.2M";ATEN;много ;много ;;11.25;;;;;
2L-5201P;"CABLE SPHD15M--HD15M/MINIDIN6M; 1.2M";ATEN;много ;много ;;11.95;;;;;
2L-1001P/C;"ATEN CABLE HD15M/MD6M/MD6M--HD15F/M; 1.8M";ATEN;много ;много ;;12.3;;;;;
2L-1700;"ATEN CABLE DB25M -- DB25F FOR CS101; 0.6M*2L-1700";ATEN;много ;много ;;12.3;;;;;
2L-1701;"ATEN CABLE DB25M -- DB25F FOR CS101; 1.8M*2L-1701";ATEN;0 ;0 ;;15.8;;;;;
2L-5003U;"ATEN CABLE HD15M/USB A-HD15F/USB B; 3M*2L-5003U";ATEN;0 ;0 ;;16.95;;;;;
2L-5203P;"CABLE SP15M -- HD15M/MINIDIN6M; 3M";ATEN;много ;много ;;18.2;;;;;
2L-1701S;"ATEN CABLE DB25M--HD15F/MD6F/MD6F/3.5F/3.5F; 1.1M*2L-1701S";ATEN;0 ;0 ;;18.7;;;;;
2L-5203U;"CABLE HD15M/USB A(M)--SPHD15M; 3M";ATEN;много ;много ;;18.850000000000001;;;;;
2L-5302U;"CABLE HD15M/USBM/SP/SP-SPHD15M; 1.8M";ATEN;много ;много ;;18.850000000000001;;;;;
2L-5203A;"ATEN CABLE SP15F -- HD15M/AUDIO/AUD; 3M*2L-5203A";ATEN;много ;много ;;18.850000000000001;;;;;
2L-5302P;"ATEN CABLE HD15M/MD6M/MD6M/SP/SP-SP; 1.8M*2L-5302P";ATEN;много ;много ;;18.850000000000001;;
UE250-AT;ATEN USB2.0 EXTENSION CABLE W/C 5m.;ATEN;много ;много ;;19.2;;
2L-2703;"ATEN CABLE DB25M -- DB25F FOR CS101; 3M*2L-2703";ATEN;много ;много ;;19.5;;
2L-1703;"CABLE DB25M -- DB25F FOR CS101; 3M";ATEN;много ;много ;;19.5;;
2L-1003P;"ATEN CABLE HD15M/MD6M/MD6M--HD15F/M; 3M/";ATEN;много ;много ;;19.850000000000001;;
KVM-121;D-Link KVM-121, 2-port KVM Switch with build in cables, AT&PS/2, Audio Support;D-Link;много ;много ;;22.2;;
2L-1005P/C;"ATEN CABLE HD15M/MD6M/MD6M--HD15F/M; 5M.";ATEN;много ;много ;;23.5;;
2L-1005P;"CABLE HD15M/MD6M/MD6M--HD15F/M; 5M";ATEN;много ;много ;;23.5;;
2L-7D02U;"ATEN CABLE DVI/USBA/SP.MC-DVI/USB B; 1.8M*2L-7D02U";ATEN;много ;много ;;23.6;;
2L-5303P;"ATEN CABLE HD15M/MD6M/MD6M/SP/SP-SP; 3M*2L-5303P";ATEN;много ;много ;;23.7;;
2L-5303U;"ATEN CABLE HD15M/USBM/SP/SP-SPHD15M; 3M*2L-5303U";ATEN;много ;много ;;23.7;;
CS22U-A7;ATEN 2 PORT USB KVM SWITCH.;ATEN;мало ;мало ;;25.15;;
2L-5206P;"CABLE SP15M -- HD15M/MINIDIN6M; 6M";ATEN;много ;много ;;26.6;;
DKVM-4K/A7A;D-Link DKVM-4K/A7A, 4-port KVM Switch;D-Link;много ;много ;;26.85;;
DKVM-4K/A7B;D-Link DKVM-4K/A7B, 4-port KVM Switch;D-Link;много ;много ;;26.85;;
2L-5303UP;"ATEN USB-PS/2 HYBRID CABLE.; 3M*2L-5303UP";ATEN;много ;много ;;27.3;;
2L-5502UP;"ATEN CABLE HD15M/USBAM--HD15F/MD6M/; 1.8M*2L-5502UP";ATEN;0 ;0 ;;27.4;;
CS62S-AT;ATEN 2 PORT KVM SWITCH FOR PS2 W/0.9m;ATEN;много ;много ;;27.62;;
2L-5305U;"CABLE HD15M/USBM/SP/SP-SPHD15M; 5M";ATEN;много ;много ;;28.15;;
2X-010G;ATEN LONG RACK KIT MODULE*2X-010G;ATEN;много ;много ;;28.7;;
2L-5205U;"CABLE HD15M/USB A(M)--SPHD15M; 5M";ATEN;много ;много ;;28.85;;
2L-1703P;"ATEN CABLE DB25M--HD15M/MINIDIN6M/M; 3M*2L-1703P";ATEN;много ;много ;;28.85;;
UC100KMA-AT;ATEN USB PS2 KB & MOUSE CONVERTER.;ATEN;много ;много ;;30;;
KVM-221;D-Link KVM-221, 2 port USB KVM Switch with built in cables, Audio Support;D-Link;много ;много ;14.02.2015(ОТС);30.75;;
2L-5503UP;"ATEN CABLE HD15M/USBAM--HD15F/MD6M/; 3M*2L-5503UP";ATEN;много ;много ;;31.5;;
2L-5203UP;"Intelligent cable HDB15m/USBAM; 3M";ATEN;много ;много ;;32.15;;
US221A-A7;ATEN 2 PORT USB PERIPHERAL SWITCH.;ATEN;много ;много ;;32.299999999999997;;
2L-5210P;"CABLE SP15M -- HD15M/MINIDIN6M; 10M";ATEN;0 ;0 ;;36.9;;
CS52-A7;ATEN 2 PORT HYBRID KVM SWITCH.;ATEN;0 ;0 ;;38.85;;
2L-5506UP;"ATEN CABLE HD15M/USBAM--HD15F/MD6M/; 6M*2L-5506UP";ATEN;0 ;0 ;;39.35;;
2L-7D03U;"ATEN CABLE DVI/USBA/SP.MC-DVI/USB B; 3M*2L-7D03U";ATEN;много ;много ;;39.65;;
2L-7D02UI;ATEN CABLE DVI-I/USBA/SP.MC-DVI/USB B*2L-7D02UI;ATEN;много ;много ;;39.65;;
CS62A-A7;ATEN 2 PORT KVM Switch with Audio.;ATEN;много ;много ;;39.85;;
US424-AT;ATEN 4 PORT USB Sharing Device.;ATEN;много ;много ;;43;;
CS52A-A7;2 PORT HYBRID KVM SWITCH WITH AUDIO.;ATEN;много ;много ;;45.2;;
DKVM-4U/A5B;D-Link DKVM-4U/A5B, 4 port USB KVM Switch with 2x cables;D-Link;0* ;0 ;;47.1;;
2L-1010P;"ATEN CABLE HD15M/MD6M/MD6M--HD15F/M; 10M";ATEN;много ;много ;;48.2;;
2L-1010P/C;"CABLE HD15M/MD6M/MD6M--HD15F/M; 10M";ATEN;мало ;мало ;;48.2;;
US421A-A7;ATEN 4 PORT USB PERIPHERAL SWITCH.;ATEN;много ;много ;;49.25;;
CS62U-A7;ATEN 2 PORT USB KVM Switch.;ATEN;много ;много ;;49.45;;
2L-7D05U;"ATEN CABLE DVI/USBA/SP.MC-DVI/USB B; 5M*2L-7D05U";ATEN;0 ;0 ;;49.5;;
2L-7D03UI;ATEN CABLE DVI-I/USBA/SP.MC-DVI/USB B*2L-7D03UI;ATEN;0 ;0 ;;53;;
KA7970-AX;ATEN USB CPU Module/cat 5 cable for KH2516A;ATEN;много ;много ;;55.7;;
